source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity
4421576266097389952,229.9248970253305,2.1290761969920946,0.6364564628266957,-2.2245923902986604,-6.128098742897425,17.096933364868164,1.0675792694091797,
4421576300457139840,229.94068325777778,2.134072017070512,-0.08738969778964686,3.9348323919921073,-9.82962524588241,17.928781509399414,0.7870521545410156,
4421576304757248256,229.94221483620933,2.1358232834555118,0.2069830525878362,4.037120863226899,-10.014463066880412,17.85447883605957,0.7966461181640625,
4421576403536346752,229.89095417369225,2.1307405015709064,0.553336413605659,-2.9735292835175633,-5.97471321916181,17.551904678344727,1.3464641571044922,
4421576575335121280,229.92176345579057,2.1632232348561304,0.09032038439341321,4.076136346785737,-9.83593580949628,17.399072647094727,0.9357776641845703,
4421576579635159296,229.91790901988318,2.153174657065471,1.720054577764466,-27.51899660460856,-13.11550751087288,15.35716724395752,1.3332910537719727,
4421576648354630912,229.97018473330343,2.148720682087468,0.11942412947767991,1.5114778660003112,-6.940458763846295,16.661664962768555,0.8579578399658203,
4421576820153325184,229.97691654355827,2.166132402553433,1.2148989175045453,-7.931271158681596,6.420444903464065,15.377496719360352,1.14251708984375,
4421577369909051776,229.88698081250124,2.16125803315285,0.77766947765624,-3.3884349245592116,2.6585012691800434,16.18442153930664,1.0261507034301758,
4421577438628530048,229.85601412074578,2.1567690699750766,0.2141971482249116,0.0698824452572901,-9.094818654112547,17.12029266357422,0.8172721862792969,
4421577571768567552,229.88811981655573,2.173024575447684,0.08292160408732684,4.153257197917062,-9.93304094281047,17.957998275756836,0.7162265777587891,
4421577576067683072,229.88677561405567,2.1718791214346824,0.9469472446155551,-7.887131947185411,-1.0989751543111292,14.073808670043945,0.8906412124633789,4.370978832244873
4421577644786963456,229.8712321598715,2.1851125743357525,0.15478857104852103,-1.4126500910061617,-4.797821423897204,17.10120964050293,0.6693115234375,
4421577709206516736,229.9147191850819,2.173588161812881,1.1252436487349164,-4.195060944913845,4.722434675762897,17.69135284423828,1.8230609893798828,
4421577782226006784,229.90786047164917,2.1823954094784175,0.231495586634201,-6.483715942312864,-4.022233704544943,16.421470642089844,0.8082160949707031,
4421577850945481088,229.94316480611747,2.1858575686329043,0.19739460225023114,1.222246633385189,-4.065375168409286,17.245168685913086,1.0610008239746094,
4421577850945481984,229.94377364146848,2.1955829783825536,0.8846902907053227,-16.06155571324706,-14.120182591748131,16.630836486816406,1.373434066772461,
4421578052803971968,229.8921584033295,2.19803486186452,7.0623973763235375,-26.36980551974826,8.31674668990201,17.90677833557129,3.455821990966797,
4421578057103918848,229.89279793000398,2.2072778482066657,0.0628809020676832,4.228295342441173,-9.790890733525673,15.211701393127441,1.070333480834961,
4421578224602733824,229.92218845274215,2.2246766850425037,0.11642308425772029,3.915922638802465,-15.646448949316074,17.09241485595703,0.7013320922851562,
4421578258962322560,230.01155396815275,2.1714877856068178,0.47633352943965723,-1.5648607555472016,-2.624243142987464,17.949626922607422,1.2290096282958984,
4421578297622073728,230.0236431883852,2.187954964762232,0.801415000918585,-10.975495776236539,-2.0185974067259846,17.49396514892578,1.1134357452392578,
4421578572499984128,230.00456791554848,2.20449450379828,0.8926282508551789,-16.873625661142214,-18.761472031629577,16.54880142211914,1.1931476593017578,
4421578641219461888,229.9879479605659,2.2041304384113065,0.5481776134263684,-1.384739011802315,-11.195025524281592,16.88551902770996,0.9728889465332031,
4421578709938938880,230.02037280181926,2.226529892684373,0.2061348686840273,1.3801697060230418,-17.07665378448598,17.451913833618164,0.8282661437988281,
4421578950457102848,230.08338956777405,2.2286920932126426,0.30892778205146343,-1.5436369323491115,-5.533657564259564,17.169557571411133,0.8057003021240234,
4421579122255798656,230.04499085749492,2.2371284162067924,0.41796124871988294,-9.850503799853609,3.2221509570672517,15.64593505859375,0.7961206436157227,
4421579328414232064,230.05169109104725,2.26669200761361,5.153665636806881,-50.324748942976846,-20.619483679128894,16.54570960998535,2.8614120483398438,
4421579358474071552,229.96249138859807,2.2130808471237793,0.78256571964882,0.2318645230134495,2.3699545569135503,16.86019515991211,1.2238311767578125,
4421579397133813504,229.98475398251435,2.218028799682328,1.1851291494239002,-22.019164841482183,-0.3235540826455387,13.956669807434082,0.8796758651733398,-59.08201217651367
4421579397133813760,229.98140870493438,2.2214340207959156,0.7234000206240554,-3.4290620677596406,-21.697085908303116,16.468721389770508,1.1386480331420898,
4421579465853189504,229.96244211712454,2.229279281599615,0.662577694620657,2.670861049612621,-3.1758394711290348,15.043127059936523,0.7986049652099609,
4421579534572662400,230.00371333569834,2.2364712124402337,1.2092628673030543,-5.541122300814924,-0.49131847637166415,17.79528045654297,1.3714179992675781,
4421579667711795584,229.9550970003483,2.2477075940221627,2.264938819965383,10.586992528195681,0.09772135947757013,16.860469818115234,1.9763307571411133,
4421579809450576128,229.9795778268779,2.263403295154229,0.5391124792655974,-6.113248936328903,0.42562236712007423,16.217618942260742,0.8117055892944336,
4421580015609003648,230.01519945456693,2.270006350404935,0.6316749555126343,-18.92183328589349,-2.436362683944417,17.704750061035156,0.9195117950439453,
4421580324846651904,230.01674472752404,2.287610527184826,0.21810875019723375,-1.5041537037368184,-8.851495906236218,17.203662872314453,0.7776203155517578,
4421576854513064192,229.98329497745272,2.177682958148552,1.4236750580512545,-15.379359056603848,-1.2484008343403312,15.064045906066895,1.005936622619629,
4421576918932512896,229.9535272732336,2.1660460666261754,0.7078188182869734,-7.578235172383108,0.1805212040521357,17.905763626098633,1.2634811401367188,
